reaction,count,PRR,risk_score
FATIGUE,52,1.69,0.44
ANAEMIA,37,3.86,0.54
DIZZINESS,36,1.26,0.44
HAEMOGLOBIN DECREASED,33,5.33,0.64
DIARRHOEA,28,1.31,0.36
HEADACHE,28,0.87,0.32
DYSPNOEA,28,0.56,0.5
PAIN,24,1.07,0.67
NAUSEA,23,0.93,0.35
PLATELET COUNT DECREASED,22,5.08,0.55
INSOMNIA,21,2.03,0.52
WEIGHT DECREASED,21,2.09,0.62
CONTUSION,21,4.68,0.29
DRUG INTERACTION,20,1.75,0.95
RASH,19,1.48,0.58
GASTROINTESTINAL HAEMORRHAGE,19,3.96,1.0
DRUG INEFFECTIVE,17,0.49,0.24
PAIN IN EXTREMITY,16,1.72,0.69
WEIGHT INCREASED,16,1.62,0.56
DECREASED APPETITE,15,2.25,0.27
ASTHENIA,15,1.04,0.47
PRURITUS,15,1.35,0.6
PYREXIA,15,1.21,0.67
ARTHRALGIA,14,2.21,0.79
FALL,14,1.02,0.79
TYPE 2 DIABETES MELLITUS,14,0.33,1.0
COUGH,13,0.68,0.46
CONSTIPATION,12,2.04,0.33
GAIT DISTURBANCE,12,1.52,0.67
URINARY TRACT INFECTION,12,2.15,0.83
HYPOAESTHESIA,12,1.69,0.42
ABDOMINAL PAIN UPPER,12,1.46,0.33
SPLENOMEGALY,12,7.76,0.17
MALAISE,11,0.49,0.45
ABDOMINAL PAIN,10,0.81,0.5
BACK PAIN,10,1.62,0.2
OEDEMA PERIPHERAL,10,0.89,0.6
CHEST PAIN,10,0.95,0.6
RED BLOOD CELL COUNT DECREASED,9,9.69,0.56
EPISTAXIS,9,2.24,0.56
OFF LABEL USE,9,0.77,0.78
PNEUMONIA,9,0.77,0.67
DEATH,9,0.34,1.0
MYALGIA,9,1.88,0.89
WHITE BLOOD CELL COUNT DECREASED,8,4.31,0.38
LOSS OF CONSCIOUSNESS,8,1.33,1.0
HYPERSENSITIVITY,8,1.18,0.75
ANXIETY,8,0.82,0.88
ERYTHEMA,8,1.12,0.38
HYPERTENSION,8,1.57,0.62
MUSCLE SPASMS,8,0.94,0.5
VOMITING,8,0.51,0.75
ANHEDONIA,8,17.24,1.0
TENSION,8,51.71,1.0
MULTIPLE INJURIES,8,51.71,1.0
DEHYDRATION,8,1.33,0.88
NASOPHARYNGITIS,7,0.46,0.43
DEFORMITY,7,22.62,1.0
SYNCOPE,7,1.16,0.86
FEELING ABNORMAL,7,0.72,0.86
MYOCARDIAL INFARCTION,7,1.51,1.0
CEREBROVASCULAR ACCIDENT,7,1.1,1.0
ATRIAL FIBRILLATION,7,2.06,0.86
PSYCHOLOGICAL TRAUMA,7,45.24,1.0
MUSCULOSKELETAL PAIN,6,3.88,0.67
HAEMATOCRIT DECREASED,6,9.69,0.67
TREMOR,6,0.92,0.5
LOCAL SWELLING,6,1.38,0.5
DRY SKIN,6,6.46,0.67
HYPERHIDROSIS,6,1.38,0.17
ABDOMINAL DISTENSION,6,1.14,0.17
DRUG DOSE OMISSION,6,0.95,0.33
UNRESPONSIVE TO STIMULI,6,4.85,1.0
INCREASED TENDENCY TO BRUISE,6,12.93,0.83
BLOOD COUNT ABNORMAL,6,2.15,0.67
FLATULENCE,6,2.98,0.0
WHITE BLOOD CELL COUNT INCREASED,6,2.42,0.17
RESPIRATORY FAILURE,5,1.8,1.0
PALPITATIONS,5,0.85,1.0
SINUSITIS,5,0.85,1.0
CEREBRAL HAEMORRHAGE,5,3.59,1.0
SKIN LESION,5,4.04,0.4
DEPRESSION,5,0.54,0.6
MUSCULAR WEAKNESS,5,0.85,0.4
ACUTE MYOCARDIAL INFARCTION,5,5.39,1.0
INFECTION,5,1.04,1.0
DRUG HYPERSENSITIVITY,5,0.46,0.4
HYPOTENSION,4,0.46,1.0
SKIN DISCOLOURATION,4,2.59,0.75
HAEMATURIA,4,2.59,1.0
BALANCE DISORDER,4,1.18,0.75
HEARING IMPAIRED,4,2.35,1.0
NIGHT SWEATS,4,3.69,0.75
BLOOD PRESSURE INCREASED,4,1.23,0.75
RECTAL HAEMORRHAGE,4,1.44,1.0
OEDEMA,4,0.34,0.25
HAEMATEMESIS,4,4.31,1.0
HAEMATOCHEZIA,4,2.35,0.75
THERAPEUTIC RESPONSE UNEXPECTED,4,5.17,0.5
ARTHRITIS,4,1.72,0.75
POLLAKIURIA,4,3.23,0.25
BONE PAIN,4,2.87,0.25
DISEASE PROGRESSION,4,0.6,0.75
DYSPNOEA EXERTIONAL,4,1.36,0.5
ANGINA PECTORIS,4,3.69,1.0
ASPARTATE AMINOTRANSFERASE INCREASED,4,5.17,0.5
RENAL FAILURE,4,1.99,1.0
PLATELET COUNT INCREASED,4,5.17,0.0
ABDOMINAL DISCOMFORT,4,0.89,0.75
VISUAL ACUITY REDUCED,4,1.99,1.0
NEUROPATHY PERIPHERAL,4,0.89,0.5
DRUG ADMINISTRATION ERROR,4,1.44,0.5
INFLUENZA,4,0.52,0.75
HERPES ZOSTER,4,3.23,0.5
MEMORY IMPAIRMENT,4,0.92,0.5
MOBILITY DECREASED,4,1.36,1.0
CHILLS,4,1.18,0.25
ALOPECIA,4,0.7,0.5
HYPERKALAEMIA,4,4.31,1.0
INTERNATIONAL NORMALISED RATIO INCREASED,4,4.31,1.0
DYSPEPSIA,4,1.29,0.25
WITHDRAWAL SYNDROME,3,3.23,1.0
BLOOD GLUCOSE INCREASED,3,1.14,1.0
CHRONIC OBSTRUCTIVE PULMONARY DISEASE,3,1.49,1.0
ULCER,3,9.69,1.0
POST PROCEDURAL HAEMORRHAGE,3,6.46,1.0
ORAL PAIN,3,9.69,0.0
APPLICATION SITE ERYTHEMA,3,0.81,0.33
EAR INFECTION,3,1.76,1.0
NEPHROGENIC SYSTEMIC FIBROSIS,3,1.08,1.0
PSORIASIS,3,3.23,1.0
INCREASED APPETITE,3,2.77,0.33
TRANSFUSION,3,1.94,0.33
DYSGEUSIA,3,0.81,0.33
INCONTINENCE,3,4.85,0.67
URTICARIA,3,0.88,0.67
LIVER FUNCTION TEST ABNORMAL,3,1.29,0.67
HAEMORRHAGE INTRACRANIAL,3,9.69,1.0
PHARYNGEAL OEDEMA,3,4.85,1.0
SEPSIS,3,1.14,1.0
HEPATIC FUNCTION ABNORMAL,3,6.46,1.0
CARDIAC FAILURE,3,1.62,1.0
HEPATIC FAILURE,3,4.85,1.0
OVERDOSE,3,0.16,0.33
HEART RATE INCREASED,3,0.59,1.0
CYST,3,9.69,0.67
PERIPHERAL SWELLING,3,0.29,1.0
HIP FRACTURE,3,3.23,1.0
ALANINE AMINOTRANSFERASE INCREASED,3,3.88,0.33
SKIN IRRITATION,3,3.88,0.33
CONDITION AGGRAVATED,3,0.61,0.67
MIGRAINE,3,0.92,0.0
WRONG TECHNIQUE IN DRUG USAGE PROCESS,3,1.38,0.33
FLUSHING,3,0.25,0.0
PLATELET COUNT ABNORMAL,3,4.85,0.0
BLISTER,3,1.14,0.0
CELLULITIS,3,1.94,0.33
CARDIAC ARREST,3,1.21,1.0
DISTURBANCE IN ATTENTION,3,2.42,1.0
RHABDOMYOLYSIS,3,3.23,1.0
CARDIAC FAILURE CONGESTIVE,3,0.84,1.0
BURNING SENSATION,3,1.29,0.33
THERAPY CESSATION,3,9.69,0.67
BLOOD CREATININE INCREASED,3,1.94,0.67
PARAESTHESIA,3,0.44,0.67
HYPONATRAEMIA,3,2.77,1.0
CONFUSIONAL STATE,3,0.78,1.0
